framework,model,dataset,percent,acc_mean,acc_std,time_mean,time_std
custom,perceptron,digits,10,0.742,0.00874070935336487,0.7061508655548095,0.44956586352284306
custom,perceptron,digits,20,0.7882,0.03050508154390017,0.9300195217132569,0.022303697123682974
custom,perceptron,digits,30,0.8076000000000001,0.010031948963187523,1.3785426139831543,0.011530733337753023
custom,perceptron,digits,40,0.817,0.014939879517586444,1.9008053302764893,0.1363462873295687
custom,perceptron,digits,50,0.8186,0.012721635115031386,2.354481315612793,0.10101991026992213
custom,perceptron,digits,60,0.8412,0.02047828117787231,2.8432426929473875,0.03832929381565215
custom,perceptron,digits,70,0.8436,0.016740370366273235,3.3522382259368895,0.2642935232519082
custom,perceptron,digits,80,0.8475999999999999,0.01246755790040697,4.420944738388061,0.3043121288826791
custom,perceptron,digits,90,0.8523999999999999,0.012499599993599807,4.7812714099884035,0.2126450244908125
custom,perceptron,digits,100,0.8577999999999999,0.011838918869559003,5.324604940414429,0.32034974856582016
custom,perceptron,faces,10,0.5213333333333333,0.033306655991458115,0.30260982513427737,0.016957347352822096
custom,perceptron,faces,20,0.7866666666666666,0.05917957605645905,0.3463406562805176,0.007186548495497229
custom,perceptron,faces,30,0.812,0.03022875746334569,0.6830329895019531,0.025739326126713015
custom,perceptron,faces,40,0.8573333333333334,0.01236482466066093,0.6967062473297119,0.02323898542557739
custom,perceptron,faces,50,0.8546666666666667,0.02436755584332943,0.7544698238372802,0.032791150103837825
custom,perceptron,faces,60,0.8493333333333334,0.013727506854649326,1.065140962600708,0.03966600608999159
custom,perceptron,faces,70,0.868,0.028409701003550027,1.0887824058532716,0.024575102804744762
custom,perceptron,faces,80,0.8866666666666667,0.009428090415820647,1.161583375930786,0.03040088506621616
custom,perceptron,faces,90,0.884,0.01717879830230016,1.4331918239593506,0.01912866045460793
custom,perceptron,faces,100,0.8973333333333333,0.015549205052920772,1.4403111457824707,0.02533380281978315
custom,customNN,digits,10,0.7120000000000001,0.025274493071078586,0.67113037109375,0.10326258054464466
custom,customNN,digits,20,0.7849999999999999,0.02164255068147003,1.278919792175293,0.06277596261972888
custom,customNN,digits,30,0.7994,0.028068487668558108,1.8959569454193115,0.12282063173485426
custom,customNN,digits,40,0.8048000000000002,0.002638181191654586,2.282469367980957,0.16624223687544423
custom,customNN,digits,50,0.8253999999999999,0.010384603988597712,2.8365181922912597,0.2495579940308261
custom,customNN,digits,60,0.8374,0.01309350984266634,3.864365577697754,0.25234378687993875
custom,customNN,digits,70,0.8452,0.014176036117335492,4.241036605834961,0.3881866513275312
custom,customNN,digits,80,0.8448,0.01351147660324364,4.8012158393859865,0.4327869022856428
custom,customNN,digits,90,0.8404,0.024694938752708,5.468538236618042,0.5176760900647728
custom,customNN,digits,100,0.8484,0.01395134402127624,5.573233604431152,0.5027390309644703
custom,customNN,faces,10,0.5279999999999999,0.03276854860651869,0.3095391750335693,0.0058284368869640285
custom,customNN,faces,20,0.8320000000000001,0.062168230543332086,0.34806241989135744,0.008293159693448416
custom,customNN,faces,30,0.78,0.06463573143221772,0.6604214668273926,0.03637925374734716
custom,customNN,faces,40,0.8613333333333333,0.021664102412362555,0.7037240028381347,0.03489437987343785
custom,customNN,faces,50,0.8480000000000001,0.030521395046025607,0.7413524150848388,0.019975508531686482
custom,customNN,faces,60,0.8306666666666667,0.034409301068170514,0.9906809329986572,0.03180062402025459
custom,customNN,faces,70,0.8719999999999999,0.02286190426597633,1.0873637199401855,0.060311557138284
custom,customNN,faces,80,0.8733333333333334,0.01632993161855452,1.1414493560791015,0.08807326983689737
custom,customNN,faces,90,0.8733333333333333,0.008432740427115698,1.3641912460327148,0.02558630276237314
custom,customNN,faces,100,0.8946666666666667,0.014236104336041746,1.4928327560424806,0.050531643924634724
pytorch,customNN,digits,10,0.739,0.010449880382090515,0.6518978595733642,0.07120071978555606
pytorch,customNN,digits,20,0.7614,0.02205085032374037,1.2544568538665772,0.07778671272532811
pytorch,customNN,digits,30,0.8126,0.024344198487524678,1.6973534107208252,0.16407023153791628
pytorch,customNN,digits,40,0.819,0.008438009243891561,2.2204485893249513,0.05568193409157148
pytorch,customNN,digits,50,0.8400000000000001,0.011832159566199244,2.757947826385498,0.14483581242453006
pytorch,customNN,digits,60,0.8427999999999999,0.009325234581499822,3.7966139793395994,0.4560008664493539
pytorch,customNN,digits,70,0.8371999999999998,0.013377593206552527,4.080444192886352,0.4681363138128959
pytorch,customNN,digits,80,0.8615999999999999,0.010744300814850644,4.925142240524292,0.31885988761343026
pytorch,customNN,digits,90,0.8486,0.007144228439796708,5.169162321090698,0.5289856909615476
pytorch,customNN,digits,100,0.8592000000000001,0.010438390680559921,5.586321878433227,0.5555908363392078
pytorch,customNN,faces,10,0.544,0.039911012125588695,0.31545190811157225,0.007220068340748663
pytorch,customNN,faces,20,0.8066666666666666,0.048625553410161254,0.3480978012084961,0.00977907144002973
pytorch,customNN,faces,30,0.776,0.020044395171163878,0.6536274433135987,0.0253043243264892
pytorch,customNN,faces,40,0.8653333333333333,0.01707499796648761,0.6863419055938721,0.04180230891209392
pytorch,customNN,faces,50,0.876,0.009977753031397162,0.7432483196258545,0.05204369942362353
pytorch,customNN,faces,60,0.8440000000000001,0.020483055327649626,1.066700267791748,0.014045787429184215
pytorch,customNN,faces,70,0.8773333333333333,0.017178798302300152,1.117844247817993,0.07597812092635355
pytorch,customNN,faces,80,0.8693333333333333,0.020912516188477465,1.1383459568023682,0.031851741908102964
